party_name,investment,levenshtein_score,jaro_winkler_score,average_score
breakey intern bv,brinker intl,0.47058823529411764,0.6738562091503267,0.5722222222222222
bredesen,breed technologies,0.33333333333333337,0.7949074074074074,0.5641203703703703
breiner,bruker,0.5714285714285714,0.7968253968253969,0.6841269841269841
bremer business finance,broadridge financial,0.3913043478260869,0.5961352657004831,0.49371980676328503
brennan,brown forman,0.41666666666666663,0.7682539682539683,0.5924603174603175
brethren mutual insurance,bondsmutual funds,0.4,0.5897385620915033,0.4948692810457517
bretti,bemis,0.33333333333333337,0.7300000000000001,0.5316666666666667
brewer,bruker,0.6666666666666667,0.8222222222222222,0.7444444444444445
bricklayers allied craftworkers local,brokerage account see lines,0.29729729729729726,0.6437604270937604,0.4705288621955288
bridgeport police department,british petroleum,0.3214285714285714,0.6554621848739496,0.4884453781512605
bridgestone bandag,boeing ba,0.33333333333333337,0.7833333333333333,0.5583333333333333
bridgestonefirestone americas holding,ben con properties des moines,0.29729729729729726,0.73037045666356,0.5138338769804287
briggs,bisys,0.5,0.7300000000000001,0.615
bright,brighthouse finl reg,0.30000000000000004,0.86,0.5800000000000001
bristol myers squibb pr,bristol myers squibb,0.8695652173913043,0.9739130434782608,0.9217391304347826
britt,british petro bp,0.3125,0.8625,0.5875
broadcast marketing international,broadridge financial,0.3939393939393939,0.8224242424242424,0.6081818181818182
broadcast music,broadcom,0.4666666666666667,0.8683333333333333,0.6675
broannutone,banc one,0.5454545454545454,0.7386363636363638,0.6420454545454546
broberg,brokerage,0.6666666666666667,0.888888888888889,0.7777777777777779
brockett,bruker,0.5,0.7777777777777778,0.6388888888888888
brooks,broadcom,0.375,0.8055555555555556,0.5902777777777778
brotherhood of locomotive engineers trainmen,brokerage account see lines,0.36363636363636365,0.6246993746993748,0.4941678691678692
brotherhood of maintenance way employees,brokerage account see lines,0.32499999999999996,0.6822109988776655,0.5036054994388327
brown,brown forman,0.41666666666666663,0.8833333333333334,0.65
brown brown,brown forman,0.6666666666666667,0.8914141414141414,0.7790404040404041
brownforman,brown forman,0.9166666666666666,0.9833333333333333,0.95
brozusky ex rel brozusky,bruker,0.25,0.8,0.525
bruce,bruker,0.6666666666666667,0.8755555555555556,0.7711111111111112
bruker,bruker,1.0,1.0,1.0
bryant,bbt bank,0.375,0.6388888888888888,0.5069444444444444
buckley,bruker,0.4285714285714286,0.7714285714285715,0.6000000000000001
buford,buffalo midcap,0.3571428571428571,0.8111111111111112,0.5841269841269842
building champions,birmingham ws,0.5,0.7374358974358977,0.6187179487179488
bulgarianamerican enterprise fund,brokerage account money fund,0.36363636363636365,0.6684704184704184,0.5160533910533911
bullock,blackrock,0.4444444444444444,0.6899470899470899,0.5671957671957671
bunnomatic,biomet,0.4,0.6888888888888888,0.5444444444444444
buonincontri,boston scientific,0.4117647058823529,0.6857298474945533,0.5487472766884531
burd ex rel burd,bard c r,0.375,0.7375,0.55625
burden,bard cr,0.4285714285714286,0.6428571428571429,0.5357142857142858
bureau of indian affairs,bank of new york,0.33333333333333337,0.6849747474747474,0.5091540404040404
burgess,burlington resoyrces “nc toc,0.25,0.825,0.5375
burgett,biomet,0.4285714285714286,0.6428571428571429,0.5357142857142858
burke,bruker,0.5,0.8900000000000001,0.6950000000000001
burleigh point,british petro bp,0.375,0.7417857142857143,0.5583928571428571
burlington northern,burlington resoyrces “nc toc,0.5,0.8650818222025652,0.6825409111012826
burlington northern santa fe railway,burlington resoyrces “nc toc,0.41666666666666663,0.8285714285714286,0.6226190476190476
burniche,brunswick,0.33333333333333337,0.775,0.5541666666666667
burrows paper,borg warmer,0.3846153846153846,0.7864801864801865,0.5855477855477855
burstein in re aw lawrence,bar association retirement plan keough,0.3421052631578947,0.6850319779381563,0.5135686205480254
burton,blackstonegso,0.3076923076923077,0.6581196581196581,0.4829059829059829
busey,bruker,0.5,0.7300000000000001,0.615
butler,bruker,0.5,0.7999999999999999,0.6499999999999999
butterball,baxter intl,0.4545454545454546,0.6515151515151515,0.553030303030303
buzek,bruker,0.5,0.765,0.6325000000000001
buzzeo,bruker,0.33333333333333337,0.6666666666666666,0.5
buzzerd,bruker,0.4285714285714286,0.7714285714285715,0.6000000000000001
byron,boeing,0.33333333333333337,0.7300000000000001,0.5316666666666667
c d general contractors,caribe federal credit union,0.37037037037037035,0.6523317861766285,0.5113510782734993
cabrera,carter,0.5714285714285714,0.8793650793650793,0.7253968253968254
caguas satellite,colgate palmolive,0.4117647058823529,0.6872771836007129,0.5495209447415329
calderon,canon,0.5,0.8133333333333332,0.6566666666666666
calderoncardona,cameron international,0.4285714285714286,0.7776623376623377,0.6031168831168832
calderonrodriguez,cameron intl,0.4117647058823529,0.6650326797385621,0.5383986928104575
caldwell energy environmental,cameron international,0.3448275862068966,0.6462096332785988,0.4955186097427477
california department of youth authority,calamos growth fund a note,0.32499999999999996,0.7927508361204013,0.5588754180602007
california ex rel brown,cliffs nat resources,0.3913043478260869,0.6358416945373467,0.5135730211817169
california teachers assn,carnival paired shs,0.375,0.7690058479532162,0.5720029239766081
callahan,cash balance,0.41666666666666663,0.8174603174603174,0.6170634920634921
camacho,coach,0.5714285714285714,0.8114285714285714,0.6914285714285714
camara,capmark bank cd,0.4,0.84,0.62
campbell,caterpillar,0.36363636363636365,0.7676767676767677,0.5656565656565657
campbells personal care,canbbean pensions money purchase plan,0.3513513513513513,0.686701919310615,0.5190266353309831
cannellas ex rel estate of digiacomo,career education ceco,0.33333333333333337,0.6312830687830687,0.48230820105820105
