person_id,judge_flag,position,status,disclosures_count,name_first,name_middle,name_last,political_affiliations,race,date_nominated,date_start,date_termination,court_short_name,court_full_name
47,3,4,judge with multiple positions,,Marcus,Wilson,Acheson,r,w,,1891-06-16,1906-06-21,Third Circuit,Court of Appeals for the Third Circuit
48,1,3,judge with multiple positions,14.0,William,Marsh,Acker,r,w,1982-07-22,1982-08-18,,N.D. Alabama,"District Court, N.D. Alabama"
49,7,10,judge with multiple positions,6.0,Harold,Arnold,Ackerman,d,w,1979-09-28,1979-11-02,2009-12-02,D. New Jersey,"District Court, D. New Jersey"
50,3,12,judge with multiple positions,,James,Waldo,Ackerman,r,w,,1979-03-31,1984-11-23,C.D. Illinois,"District Court, C.D. Illinois"
51,1,6,judge with multiple positions,7.0,Raymond,L.,Acosta,r,h,1982-09-09,1982-09-30,,D. Puerto Rico,"District Court, D. Puerto Rico"
52,1,8,judge with multiple positions,,Jackson,Leroy,Adair,d,w,1937-03-24,1937-04-27,1956-01-19,S.D. Illinois,"District Court, S.D. Illinois"
53,1,6,judge with multiple positions,,Arlin,Marvin,Adams,r,w,1969-09-22,1969-10-02,1987-01-02,Third Circuit,Court of Appeals for the Third Circuit
54,3,6,judge with multiple positions,,Elmer,Bragg,Adams,d,w,1905-12-05,1905-12-12,1911-12-31,Eighth Circuit,Court of Appeals for the Eighth Circuit
55,3,11,judge with multiple positions,,George,,Adams,d,w,,1838-06-18,1838-09-30,N.D. Mississippi,"District Court, N.D. Mississippi"
56,1,4,judge with multiple positions,,George,Bethune,Adams,r,w,1901-12-05,1901-12-17,1911-10-09,S.D. New York,"District Court, S.D. New York"
57,2,5,judge with multiple positions,18.0,Henry,Lee,Adams,d,b,1993-10-29,1993-11-24,,M.D. Florida,"District Court, M.D. Florida"
58,2,5,judge with multiple positions,17.0,John,R.,Adams,r,w,2003-01-07,2003-02-12,,N.D. Ohio,"District Court, N.D. Ohio"
59,2,5,judge with multiple positions,,William,Charles,Adamson,,w,,1926-05-28,1928-01-20,U.S. Customs Court,United States Customs Court
60,1,6,judge with multiple positions,17.0,Lynn,S.,Adelman,d,w,1997-09-08,1997-12-23,,E.D. Wisconsin,"District Court, E.D. Wisconsin"
61,1,8,judge with multiple positions,,Jesse,Corcoran,Adkins,r,w,1930-06-06,1930-06-17,1955-03-29,District of Columbia,"District Court, District of Columbia"
62,1,4,judge with multiple positions,,Simon,Louis,Adler,r,w,1927-12-06,1928-01-16,1934-05-23,W.D. New York,"District Court, W.D. New York"
63,2,8,judge with multiple positions,18.0,Lance,M.,Africk,r,w,2002-01-23,2002-04-17,,E.D. Louisiana,"District Court, E.D. Louisiana"
64,3,8,judge with multiple positions,10.0,George,Steven,Agee,r,w,2008-03-13,2008-07-01,,Fourth Circuit,Court of Appeals for the Fourth Circuit
65,2,3,judge with multiple positions,,Robert,Peter,Aguilar,d,h,1980-04-03,1980-06-18,1996-06-24,N.D. California,"District Court, N.D. California"
66,3,8,judge with multiple positions,17.0,Ann,L.,Aiken,d,w,1997-01-07,1998-02-04,,D. Oregon,"District Court, D. Oregon"
67,2,7,judge with multiple positions,,Robert,Andrew,Ainsworth,d,w,1966-06-28,1966-07-22,1981-12-22,Fifth Circuit,Court of Appeals for the Fifth Circuit
68,1,7,judge with multiple positions,,Alexander,,Akerman,r,w,1929-01-19,1929-02-15,1948-08-21,S.D. Florida,"District Court, S.D. Florida"
69,1,4,judge with multiple positions,4.0,Anthony,A.,Alaimo,r,w,1971-11-29,1971-12-09,2009-12-30,S.D. Georgia,"District Court, S.D. Georgia"
70,2,12,judge with multiple positions,3.0,Arthur,Lawrence,Alarcon,d,h,1979-08-28,1979-11-02,2015-01-28,Ninth Circuit,Court of Appeals for the Ninth Circuit
71,1,4,judge with multiple positions,18.0,William,Harold,Albritton,r,w,1991-03-11,1991-05-14,,M.D. Alabama,"District Court, M.D. Alabama"
72,2,5,judge with multiple positions,8.0,Ruggero,John,Aldisert,d,w,1968-07-17,1968-07-29,2014-12-28,Third Circuit,Court of Appeals for the Third Circuit
