person_id,name_first,name_middle,name_last,political_affiliations,race,position_url,position_type,job_title,sector,organization,date_nominated,date_start,date_termination,court_resource_url,court_id,court_short_name,court_full_name,court_url
16022,Mark,Joseph,Rusch,r,w,https://www.courtlistener.com/api/rest/v4/positions/51736/,pres-jud,,2,,,2001-01-01,2004-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct402/,texdistct402,Tex. 401st Jud. Dist. Ct.,Texas 401st Judicial District Court,http://www.collincountytx.gov/district_courts/Pages/401dc.aspx
16022,Mark,Joseph,Rusch,r,w,https://www.courtlistener.com/api/rest/v4/positions/51735/,pres-jud,,2,,,2000-01-01,2000-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct402/,texdistct402,Tex. 401st Jud. Dist. Ct.,Texas 401st Judicial District Court,http://www.collincountytx.gov/district_courts/Pages/401dc.aspx
16022,Mark,Joseph,Rusch,r,w,https://www.courtlistener.com/api/rest/v4/positions/51734/,pros,,2,Collin County District Attorney's Office,,1984-01-01,1996-01-01,,,,,
16022,Mark,Joseph,Rusch,r,w,https://www.courtlistener.com/api/rest/v4/positions/51733/,jud,,2,Collin County Civil Court at Law,,1996-01-01,2000-01-01,,,,,
16021,Donna,,Roth,d,w,https://www.courtlistener.com/api/rest/v4/positions/51732/,prac,,1,"Thurlow, Roth and Garriga, P.C.",,1987-09-01,1993-01-01,,,,,
16021,Donna,,Roth,d,w,https://www.courtlistener.com/api/rest/v4/positions/51731/,,Partner,1,"Thurlow, Roth and Garriga, P.C.",,1993-01-01,1994-07-01,,,,,
16021,Donna,,Roth,d,w,https://www.courtlistener.com/api/rest/v4/positions/51730/,,Owner,1,Roth & Associates,,1994-07-01,2018-12-01,,,,,
16021,Donna,,Roth,d,w,https://www.courtlistener.com/api/rest/v4/positions/51729/,pres-jud,,2,,,2019-01-01,2022-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct296/,texdistct296,Tex. 295th Jud. Dist. Ct.,Texas 295th Judicial District Court,https://www.justex.net/Courts/Civil/CivilCourt.aspx?crt=23
16020,Paul,R.,Rotenberry,r,w,https://www.courtlistener.com/api/rest/v4/positions/51728/,prac,,1,Private Practice,,,,,,,,
16020,Paul,R.,Rotenberry,r,w,https://www.courtlistener.com/api/rest/v4/positions/51727/,pres-jud,,2,,,2017-01-01,2022-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct327/,texdistct327,Tex. 326th Jud. Dist. Ct.,Texas 326th Judicial District Court,http://tx-taylorcounty.civicplus.com/index.aspx?NID=210
16020,Paul,R.,Rotenberry,r,w,https://www.courtlistener.com/api/rest/v4/positions/51726/,pres-jud,,2,,,2015-01-01,2018-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct327/,texdistct327,Tex. 326th Jud. Dist. Ct.,Texas 326th Judicial District Court,http://tx-taylorcounty.civicplus.com/index.aspx?NID=210
16019,Robert,M.,Rolston,r,w,https://www.courtlistener.com/api/rest/v4/positions/51725/,prac,,1,Private Practice,,1973-01-01,2010-12-01,,,,,
16019,Robert,M.,Rolston,r,w,https://www.courtlistener.com/api/rest/v4/positions/51724/,,Servicemember,,U.S. Army,,,1978-01-01,,,,,
16019,Robert,M.,Rolston,r,w,https://www.courtlistener.com/api/rest/v4/positions/51723/,ad-law-jud,,2,,,,,https://www.courtlistener.com/api/rest/v4/courts/texdistct277/,texdistct277,Tex. 276th Jud. Dist. Ct.,Texas 276th Judicial District Court,http://www.co.titus.tx.us/
16019,Robert,M.,Rolston,r,w,https://www.courtlistener.com/api/rest/v4/positions/51722/,pres-jud,,2,,,2019-01-01,2022-12-31,,,,,
16019,Robert,M.,Rolston,r,w,https://www.courtlistener.com/api/rest/v4/positions/51721/,pres-jud,,2,,,2015-01-01,2018-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct277/,texdistct277,Tex. 276th Jud. Dist. Ct.,Texas 276th Judicial District Court,http://www.co.titus.tx.us/
16019,Robert,M.,Rolston,r,w,https://www.courtlistener.com/api/rest/v4/positions/51720/,pres-jud,,2,,,2011-01-01,2014-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct277/,texdistct277,Tex. 276th Jud. Dist. Ct.,Texas 276th Judicial District Court,http://www.co.titus.tx.us/
16018,Robert,L.,Rolnick,d,w,https://www.courtlistener.com/api/rest/v4/positions/51719/,,Partner,1,DeGrasse & Rolnick,,,,,,,,
16018,Robert,L.,Rolnick,d,w,https://www.courtlistener.com/api/rest/v4/positions/51718/,pres-jud,,2,,,2019-01-01,2022-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct459/,texdistct459,Tex. 458th Jud. Dist. Ct.,Texas 458th Judicial District Court,http://www.fortbendcountytx.gov/index.aspx?page=2015
16017,Randy,,Roll,d,w,https://www.courtlistener.com/api/rest/v4/positions/51717/,pres-jud,,2,,,2016-01-01,2020-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct180/,texdistct180,Tex. 179th Jud. Dist. Ct.,Texas 179th Judicial District Court,http://www.justex.net/
